/home/yubin/miniconda3/envs/torch/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
classify loss is 0.98988825, angle loss is 0.76457381, iou loss is 5.11598349
Epoch is [1/600], mini-batch is [1/27], time consumption is 4.01074100, batch_loss is 13.75160980
classify loss is 0.98710376, angle loss is 0.74155784, iou loss is 4.58230591
Epoch is [1/600], mini-batch is [2/27], time consumption is 0.20149279, batch_loss is 12.98498821
classify loss is 0.99159545, angle loss is 0.67079902, iou loss is 4.72126293
Epoch is [1/600], mini-batch is [3/27], time consumption is 0.20104575, batch_loss is 12.42084789
classify loss is 0.98895973, angle loss is 0.53725028, iou loss is 4.56557846
Epoch is [1/600], mini-batch is [4/27], time consumption is 0.19677567, batch_loss is 10.92704105
classify loss is 0.99297535, angle loss is 0.41288084, iou loss is 4.54331017
Epoch is [1/600], mini-batch is [5/27], time consumption is 0.20130610, batch_loss is 9.66509438
classify loss is 0.99177402, angle loss is 0.47489753, iou loss is 4.54836702
Epoch is [1/600], mini-batch is [6/27], time consumption is 0.19772339, batch_loss is 10.28911591
classify loss is 0.99206048, angle loss is 0.30594149, iou loss is 3.98700690
Epoch is [1/600], mini-batch is [7/27], time consumption is 0.20007658, batch_loss is 8.03848267
classify loss is 0.98947155, angle loss is 0.17959827, iou loss is 3.95394468
Epoch is [1/600], mini-batch is [8/27], time consumption is 0.19993901, batch_loss is 6.73939896
classify loss is 0.98464644, angle loss is 0.24363156, iou loss is 3.68664670
Epoch is [1/600], mini-batch is [9/27], time consumption is 0.20413327, batch_loss is 7.10760832
classify loss is 0.98976678, angle loss is 0.30475408, iou loss is 3.53549409
Epoch is [1/600], mini-batch is [10/27], time consumption is 0.20240855, batch_loss is 7.57280111
classify loss is 0.97763127, angle loss is 0.13407785, iou loss is 3.36130738
Epoch is [1/600], mini-batch is [11/27], time consumption is 0.20257902, batch_loss is 5.67971706
classify loss is 0.99094325, angle loss is 0.12624939, iou loss is 3.58168888
Epoch is [1/600], mini-batch is [12/27], time consumption is 0.20138025, batch_loss is 5.83512640
classify loss is 0.99153703, angle loss is 0.08942126, iou loss is 3.47258115
Epoch is [1/600], mini-batch is [13/27], time consumption is 0.20478749, batch_loss is 5.35833073
classify loss is 0.98668444, angle loss is 0.11078952, iou loss is 3.75499916
Epoch is [1/600], mini-batch is [14/27], time consumption is 0.20334888, batch_loss is 5.84957886
classify loss is 0.98718321, angle loss is 0.04694568, iou loss is 3.75169253
Epoch is [1/600], mini-batch is [15/27], time consumption is 0.20480251, batch_loss is 5.20833254
classify loss is 0.99375761, angle loss is 0.03664022, iou loss is 2.96797872
Epoch is [1/600], mini-batch is [16/27], time consumption is 0.20065236, batch_loss is 4.32813835
classify loss is 0.98740834, angle loss is 0.04328534, iou loss is 3.32781291
Epoch is [1/600], mini-batch is [17/27], time consumption is 0.20160866, batch_loss is 4.74807453
classify loss is 0.98029715, angle loss is 0.04378564, iou loss is 3.01535010
Epoch is [1/600], mini-batch is [18/27], time consumption is 0.20390964, batch_loss is 4.43350363
classify loss is 0.98498648, angle loss is 0.02773924, iou loss is 3.54748631
Epoch is [1/600], mini-batch is [19/27], time consumption is 0.19588828, batch_loss is 4.80986500
classify loss is 0.98964190, angle loss is 0.07342593, iou loss is 3.32129693
Epoch is [1/600], mini-batch is [20/27], time consumption is 0.20001221, batch_loss is 5.04519844
classify loss is 0.97766829, angle loss is 0.05270831, iou loss is 3.65576863
Epoch is [1/600], mini-batch is [21/27], time consumption is 0.20184994, batch_loss is 5.16052008
classify loss is 0.98987937, angle loss is 0.01915746, iou loss is 3.31161141
Epoch is [1/600], mini-batch is [22/27], time consumption is 0.20418739, batch_loss is 4.49306536
classify loss is 0.98767143, angle loss is 0.04563503, iou loss is 3.49700308
Epoch is [1/600], mini-batch is [23/27], time consumption is 0.20204306, batch_loss is 4.94102478
classify loss is 0.98635167, angle loss is 0.04989305, iou loss is 3.69966221
Epoch is [1/600], mini-batch is [24/27], time consumption is 0.20029521, batch_loss is 5.18494415
classify loss is 0.98094660, angle loss is 0.04195704, iou loss is 3.07722926
Epoch is [1/600], mini-batch is [25/27], time consumption is 0.19982696, batch_loss is 4.47774649
classify loss is 0.99149692, angle loss is 0.03210006, iou loss is 2.99639416
Epoch is [1/600], mini-batch is [26/27], time consumption is 0.20185971, batch_loss is 4.30889177
classify loss is 0.98389196, angle loss is 0.04444028, iou loss is 2.53728080
Epoch is [1/600], mini-batch is [27/27], time consumption is 0.19857788, batch_loss is 3.96557570
epoch_loss is 6.78980082, epoch_time is 21.47701263
Mon May 23 16:14:11 2022
==================================================
classify loss is 0.97990400, angle loss is 0.04050664, iou loss is 2.98342133
Epoch is [2/600], mini-batch is [1/27], time consumption is 0.20497227, batch_loss is 4.36839199
classify loss is 0.98131478, angle loss is 0.04461810, iou loss is 2.73609686
Epoch is [2/600], mini-batch is [2/27], time consumption is 0.20147896, batch_loss is 4.16359282
classify loss is 0.97737283, angle loss is 0.03232132, iou loss is 2.95797992
Epoch is [2/600], mini-batch is [3/27], time consumption is 0.20219398, batch_loss is 4.25856590
classify loss is 0.98143572, angle loss is 0.05525111, iou loss is 3.03688002
Epoch is [2/600], mini-batch is [4/27], time consumption is 0.20474911, batch_loss is 4.57082701
classify loss is 0.99526793, angle loss is 0.03293043, iou loss is 2.99738050
Epoch is [2/600], mini-batch is [5/27], time consumption is 0.20232916, batch_loss is 4.32195282
classify loss is 0.99028563, angle loss is 0.02673003, iou loss is 3.06354809
Epoch is [2/600], mini-batch is [6/27], time consumption is 0.20081520, batch_loss is 4.32113361
classify loss is 0.98778892, angle loss is 0.01943583, iou loss is 3.08526134
Epoch is [2/600], mini-batch is [7/27], time consumption is 0.20131993, batch_loss is 4.26740837
classify loss is 0.99032229, angle loss is 0.01975452, iou loss is 2.61521673
Epoch is [2/600], mini-batch is [8/27], time consumption is 0.20544004, batch_loss is 3.80308437
classify loss is 0.98607641, angle loss is 0.02167817, iou loss is 2.46772861
Epoch is [2/600], mini-batch is [9/27], time consumption is 0.20491147, batch_loss is 3.67058659
classify loss is 0.98242134, angle loss is 0.07051715, iou loss is 2.27681637
Epoch is [2/600], mini-batch is [10/27], time consumption is 0.20179629, batch_loss is 3.96440935
classify loss is 0.98911965, angle loss is 0.03982799, iou loss is 2.83186603
Epoch is [2/600], mini-batch is [11/27], time consumption is 0.20379353, batch_loss is 4.21926546
classify loss is 0.98283875, angle loss is 0.04149080, iou loss is 2.22948146
Epoch is [2/600], mini-batch is [12/27], time consumption is 0.20638657, batch_loss is 3.62722826
classify loss is 0.98997182, angle loss is 0.06037569, iou loss is 2.18775272
Epoch is [2/600], mini-batch is [13/27], time consumption is 0.20740104, batch_loss is 3.78148150
classify loss is 0.98751181, angle loss is 0.02261676, iou loss is 2.26456022
Epoch is [2/600], mini-batch is [14/27], time consumption is 0.20127463, batch_loss is 3.47823977
classify loss is 0.99371111, angle loss is 0.02681342, iou loss is 2.12948322
Epoch is [2/600], mini-batch is [15/27], time consumption is 0.20864773, batch_loss is 3.39132833
classify loss is 0.98573679, angle loss is 0.04137784, iou loss is 2.18696570
Epoch is [2/600], mini-batch is [16/27], time consumption is 0.20110703, batch_loss is 3.58648109
classify loss is 0.98827749, angle loss is 0.06504554, iou loss is 2.20605397
Epoch is [2/600], mini-batch is [17/27], time consumption is 0.20797133, batch_loss is 3.84478688
classify loss is 0.99004877, angle loss is 0.01554828, iou loss is 2.14357185
Epoch is [2/600], mini-batch is [18/27], time consumption is 0.20571876, batch_loss is 3.28910351
classify loss is 0.99196225, angle loss is 0.01631580, iou loss is 1.93355882
Epoch is [2/600], mini-batch is [19/27], time consumption is 0.20280838, batch_loss is 3.08867908
classify loss is 0.99270272, angle loss is 0.01812818, iou loss is 2.15876532
Epoch is [2/600], mini-batch is [20/27], time consumption is 0.20427823, batch_loss is 3.33274984
classify loss is 0.99075145, angle loss is 0.00655290, iou loss is 2.00261450
Epoch is [2/600], mini-batch is [21/27], time consumption is 0.20156837, batch_loss is 3.05889511
classify loss is 0.99140674, angle loss is 0.02351790, iou loss is 1.74130166
Epoch is [2/600], mini-batch is [22/27], time consumption is 0.20052004, batch_loss is 2.96788740
classify loss is 0.99100488, angle loss is 0.10446411, iou loss is 1.77172577
Epoch is [2/600], mini-batch is [23/27], time consumption is 0.20132399, batch_loss is 3.80737185
classify loss is 0.98784471, angle loss is 0.09400032, iou loss is 2.10699177
Epoch is [2/600], mini-batch is [24/27], time consumption is 0.19883752, batch_loss is 4.03483963
classify loss is 0.99138194, angle loss is 0.01997638, iou loss is 1.78022039
Epoch is [2/600], mini-batch is [25/27], time consumption is 0.20377636, batch_loss is 2.97136617
classify loss is 0.99050021, angle loss is 0.01281874, iou loss is 1.68709528
Epoch is [2/600], mini-batch is [26/27], time consumption is 0.19932055, batch_loss is 2.80578279
classify loss is 0.99155140, angle loss is 0.17154078, iou loss is 1.88382220
Epoch is [2/600], mini-batch is [27/27], time consumption is 0.20269585, batch_loss is 4.59078121
epoch_loss is 3.76245262, epoch_time is 20.00266647
Mon May 23 16:14:31 2022
==================================================
classify loss is 0.99272776, angle loss is 0.02758070, iou loss is 1.81763923
Epoch is [3/600], mini-batch is [1/27], time consumption is 0.20724297, batch_loss is 3.08617401
classify loss is 0.99015635, angle loss is 0.01792884, iou loss is 1.61634636
Epoch is [3/600], mini-batch is [2/27], time consumption is 0.20422554, batch_loss is 2.78579116
classify loss is 0.98976266, angle loss is 0.05851122, iou loss is 1.80683219
Epoch is [3/600], mini-batch is [3/27], time consumption is 0.20478773, batch_loss is 3.38170719
classify loss is 0.98841858, angle loss is 0.01925720, iou loss is 1.73576796
Epoch is [3/600], mini-batch is [4/27], time consumption is 0.20254302, batch_loss is 2.91675854
classify loss is 0.98866791, angle loss is 0.03657727, iou loss is 1.87258601
Epoch is [3/600], mini-batch is [5/27], time consumption is 0.20688200, batch_loss is 3.22702670
classify loss is 0.98548436, angle loss is 0.01539849, iou loss is 1.65262425
Epoch is [3/600], mini-batch is [6/27], time consumption is 0.20409751, batch_loss is 2.79209352
classify loss is 0.99227977, angle loss is 0.01822736, iou loss is 1.47714031
Epoch is [3/600], mini-batch is [7/27], time consumption is 0.20334172, batch_loss is 2.65169382
classify loss is 0.98969102, angle loss is 0.02670084, iou loss is 1.76096702
Epoch is [3/600], mini-batch is [8/27], time consumption is 0.20151019, batch_loss is 3.01766658
classify loss is 0.99114090, angle loss is 0.04246948, iou loss is 1.70257401
Epoch is [3/600], mini-batch is [9/27], time consumption is 0.20311236, batch_loss is 3.11840963
classify loss is 0.98543411, angle loss is 0.02638211, iou loss is 1.63717043
Epoch is [3/600], mini-batch is [10/27], time consumption is 0.20672536, batch_loss is 2.88642573
classify loss is 0.98251140, angle loss is 0.02270992, iou loss is 1.62301004
Epoch is [3/600], mini-batch is [11/27], time consumption is 0.20176506, batch_loss is 2.83262062
classify loss is 0.98594147, angle loss is 0.02130006, iou loss is 1.51715565
Epoch is [3/600], mini-batch is [12/27], time consumption is 0.20420098, batch_loss is 2.71609783
classify loss is 0.99357814, angle loss is 0.02765514, iou loss is 1.50307000
Epoch is [3/600], mini-batch is [13/27], time consumption is 0.20467997, batch_loss is 2.77319956
classify loss is 0.98037326, angle loss is 0.02231032, iou loss is 1.39590871
Epoch is [3/600], mini-batch is [14/27], time consumption is 0.20396352, batch_loss is 2.59938526
classify loss is 0.99362713, angle loss is 0.01803654, iou loss is 1.51206434
Epoch is [3/600], mini-batch is [15/27], time consumption is 0.20109010, batch_loss is 2.68605685
